efo_otar_slim_id	efo_label	rs_classification
DOID:0050890	synucleinopathy	03-disease-area
DOID:10113	trypanosomiasis	02-disease-root
DOID:10718	giardiasis	02-disease-root
DOID:13406	pulmonary sarcoidosis	01-disease-subtype
DOID:1947	trichomoniasis	02-disease-root
DOID:7551	gonorrhea	02-disease-root
EFO:0000094	B-cell acute lymphoblastic leukemia	01-disease-subtype
EFO:0000095	chronic lymphocytic leukemia	02-disease-root
EFO:0000096	neoplasm of mature B-cells	02-disease-root
EFO:0000174	Ewing sarcoma	01-disease-subtype
EFO:0000178	gastric carcinoma	01-disease-subtype
EFO:0000180	HIV-1 infection	01-disease-subtype
EFO:0000181	head and neck squamous cell carcinoma	01-disease-subtype
EFO:0000182	hepatocellular carcinoma	01-disease-subtype
EFO:0000183	Hodgkins lymphoma	02-disease-root
EFO:0000186	invasive breast ductal carcinoma	01-disease-subtype
EFO:0000191	MALT lymphoma	01-disease-subtype
EFO:0000195	metabolic syndrome	02-disease-root
EFO:0000196	metastatic prostate cancer	01-disease-subtype
EFO:0000197	mucinous carcinoma	03-disease-area
EFO:0000198	myelodysplastic syndrome	02-disease-root
EFO:0000199	oral squamous cell carcinoma	01-disease-subtype
EFO:0000200	plasma cell neoplasm	03-disease-area
EFO:0000203	monoclonal gammopathy	02-disease-root
EFO:0000205	stage I endometrioid carcinoma	01-disease-subtype
EFO:0000206	stage II endometrioid carcinoma	01-disease-subtype
EFO:0000209	T-cell acute lymphoblastic leukemia	01-disease-subtype
EFO:0000211	unspecified peripheral T-cell lymphoma	02-disease-root
EFO:0000216	acinar cell carcinoma	03-disease-area
EFO:0000217	gastritis	02-disease-root
EFO:0000218	acute erythroleukemia	01-disease-subtype
EFO:0000220	acute lymphoblastic leukemia	02-disease-root
EFO:0000221	acute monocytic leukemia	01-disease-subtype
EFO:0000222	acute myeloid leukemia	02-disease-root
EFO:0000223	acute myelomonocytic leukemia	01-disease-subtype
EFO:0000224	acute promyelocytic leukemia	01-disease-subtype
EFO:0000225	acute quadriplegic myopathy	02-disease-root
EFO:0000228	adenocarcinoma	03-disease-area
EFO:0000231	adenoid cystic carcinoma	02-disease-root
EFO:0000232	adenoma	03-disease-area
EFO:0000233	adenosquamous lung carcinoma	01-disease-subtype
EFO:0000239	adrenal gland pheochromocytoma	02-disease-root
EFO:0000246	age	04-non-disease
EFO:0000248	alveolar rhabdomyosarcoma	01-disease-subtype
EFO:0000255	angioimmunoblastic T-cell lymphoma	01-disease-subtype
EFO:0000266	aortic stenosis	01-disease-subtype
EFO:0000272	astrocytoma	03-disease-area
EFO:0000274	atopic eczema	02-disease-root
EFO:0000275	atrial fibrillation	02-disease-root
EFO:0000278	pancreatitis	03-disease-area
EFO:0000279	azoospermia	02-disease-root
EFO:0000280	Barrett's esophagus	02-disease-root
EFO:0000281	basal-like breast carcinoma	01-disease-subtype
EFO:0000284	benign prostatic hyperplasia	02-disease-root
EFO:0000287	biopsy number	04-non-disease
EFO:0000289	bipolar disorder	02-disease-root
EFO:0000294	bladder tumor	03-disease-area
EFO:0000304	breast adenocarcinoma	01-disease-subtype
EFO:0000305	breast carcinoma	01-disease-subtype
EFO:0000306	breast tumor luminal	01-disease-subtype
EFO:0000308	bronchoalveolar adenocarcinoma	01-disease-subtype
EFO:0000309	Burkitts lymphoma	01-disease-subtype
EFO:0000311	cancer	03-disease-area
EFO:0000313	carcinoma	03-disease-area
EFO:0000318	cardiomyopathy	02-disease-root
EFO:0000319	cardiovascular disease	03-disease-area
EFO:0000326	central nervous system cancer	03-disease-area
EFO:0000330	childhood acute myeloid leukemia	01-disease-subtype
EFO:0000331	chondroblastoma	02-disease-root
EFO:0000332	chondromyxoid fibroma	02-disease-root
EFO:0000333	chondrosarcoma	02-disease-root
EFO:0000335	chromophobe renal cell carcinoma	02-disease-root
EFO:0000337	chronic gastritis	01-disease-subtype
EFO:0000339	chronic myelogenous leukemia	01-disease-subtype
EFO:0000341	chronic obstructive pulmonary disease	02-disease-root
EFO:0000342	chronic pancreatitis	02-disease-root
EFO:0000348	clear cell adenocarcinoma	03-disease-area
EFO:0000349	clear cell renal carcinoma	01-disease-subtype
EFO:0000350	clear cell sarcoma of the kidney	01-disease-subtype
EFO:0000364	colon mucinous adenocarcinoma	01-disease-subtype
EFO:0000365	colorectal adenocarcinoma	02-disease-root
EFO:0000373	congestive heart failure	02-disease-root
EFO:0000384	Crohn's disease	02-disease-root
EFO:0000388	electrical current	04-non-disease
EFO:0000389	cutaneous melanoma	01-disease-subtype
EFO:0000391	damage intensity	04-non-disease
EFO:0000394	dedifferentiated chondrosarcoma	01-disease-subtype
EFO:0000397	dermal neurofibroma	01-disease-subtype
EFO:0000398	dermatomyositis	02-disease-root
EFO:0000400	diabetes mellitus	02-disease-root
EFO:0000401	diabetic nephropathy	02-disease-root
EFO:0000402	diffuse gastric adenocarcinoma	01-disease-subtype
EFO:0000403	diffuse large B-cell lymphoma	02-disease-root
EFO:0000404	diffuse scleroderma	01-disease-subtype
EFO:0000407	dilated cardiomyopathy	01-disease-subtype
EFO:0000409	disease free survival	04-non-disease
EFO:0000412	distant metastasis free survival	04-non-disease
EFO:0000428	dose	04-non-disease
EFO:0000432	breast ductal carcinoma in situ	01-disease-subtype
EFO:0000433	duration	04-non-disease
EFO:0000437	embryonal rhabdomyosarcoma	01-disease-subtype
EFO:0000464	emphysema	01-disease-subtype
EFO:0000465	endocarditis	02-disease-root
EFO:0000466	endometrioid carcinoma	02-disease-root
EFO:0000474	epilepsy	02-disease-root
EFO:0000478	esophageal adenocarcinoma	01-disease-subtype
EFO:0000479	essential thrombocythemia	02-disease-root
EFO:0000480	event death	04-non-disease
EFO:0000482	event free survival time	04-non-disease
EFO:0000483	exercise	04-non-disease
EFO:0000489	extra-adrenal sympathetic paraganglioma	02-disease-root
EFO:0000495	fetal growth restriction	02-disease-root
EFO:0000497	fibromatosis	02-disease-root
EFO:0000499	follicular thyroid adenoma	01-disease-subtype
EFO:0000500	ganglioneuroma	02-disease-root
EFO:0000501	follicular thyroid carcinoma	01-disease-subtype
EFO:0000502	ganglioneuroblastoma	02-disease-root
EFO:0000503	gastric adenocarcinoma	01-disease-subtype
EFO:0000504	gastric intestinal type adenocarcinoma	01-disease-subtype
EFO:0000508	genetic disorder	03-disease-area
EFO:0000512	reproductive system disease	03-disease-area
EFO:0000513	genotype	04-non-disease
EFO:0000514	germ cell tumor	02-disease-root
EFO:0000516	glaucoma	02-disease-root
EFO:0000519	glioblastoma multiforme	02-disease-root
EFO:0000536	hyperplasia	03-disease-area
EFO:0000537	hypertension	02-disease-root
EFO:0000538	hypertrophic cardiomyopathy	01-disease-subtype
EFO:0000540	immune system disease	03-disease-area
EFO:0000544	infection	04-non-disease
EFO:0000545	infertility	03-disease-area
EFO:0000546	injury	04-non-disease
EFO:0000549	insulinoma	01-disease-subtype
EFO:0000551	intracranial hemorrhage	03-disease-area
EFO:0000552	invasive breast ductal and lobular carcinoma	01-disease-subtype
EFO:0000553	invasive lobular carcinoma	01-disease-subtype
EFO:0000555	irritable bowel syndrome	02-disease-root
EFO:0000556	ischemia	04-non-disease
EFO:0000557	juvenile dermatomyositis	01-disease-subtype
EFO:0000558	Kaposi's sarcoma	01-disease-subtype
EFO:0000559	keratinizing squamous cell carcinoma	01-disease-subtype
EFO:0000563	large cell neuroendocrine carcinoma	02-disease-root
EFO:0000564	leiomyosarcoma	01-disease-subtype
EFO:0000565	leukemia	03-disease-area
EFO:0000569	liposarcoma	01-disease-subtype
EFO:0000571	lung adenocarcinoma	01-disease-subtype
EFO:0000574	lymphoma	03-disease-area
EFO:0000580	medullary breast carcinoma	01-disease-subtype
EFO:0000584	infectious meningitis	03-disease-area
EFO:0000588	mesothelioma	02-disease-root
EFO:0000589	metabolic disease	03-disease-area
EFO:0000595	monophasic synovial sarcoma	01-disease-subtype
EFO:0000612	myocardial infarction	02-disease-root
EFO:0000613	myxoid liposarcoma	01-disease-subtype
EFO:0000616	neoplasm	03-disease-area
EFO:0000618	nervous system disease	03-disease-area
EFO:0000621	neuroblastoma	02-disease-root
EFO:0000622	neurofibroma	02-disease-root
EFO:0000625	nevus	03-disease-area
EFO:0000627	number of injections	04-non-disease
EFO:0000630	oligoastrocytoma	01-disease-subtype
EFO:0000632	oligodendroglioma	01-disease-subtype
EFO:0000633	operator variation	04-non-disease
EFO:0000637	osteosarcoma	02-disease-root
EFO:0000638	overall survival	04-non-disease
EFO:0000639	papillary cystadenocarcinoma	01-disease-subtype
EFO:0000640	papillary renal cell carcinoma	01-disease-subtype
EFO:0000641	papillary thyroid carcinoma	01-disease-subtype
EFO:0000648	period of infection	04-non-disease
EFO:0000649	periodontitis	01-disease-subtype
EFO:0000650	whooping cough	01-disease-subtype
EFO:0000651	phenotype	04-non-disease
EFO:0000653	phyllodes tumor	02-disease-root
EFO:0000658	plexiform neurofibroma	01-disease-subtype
EFO:0000660	polycystic ovary syndrome	02-disease-root
EFO:0000662	polyp	03-disease-area
EFO:0000666	portal hypertension	02-disease-root
EFO:0000668	preeclampsia	02-disease-root
EFO:0000673	prostate adenocarcinoma	01-disease-subtype
EFO:0000676	psoriasis	02-disease-root
EFO:0000677	mental or behavioural disorder	03-disease-area
EFO:0000678	pterygium	01-disease-subtype
EFO:0000681	renal cell carcinoma	01-disease-subtype
EFO:0000684	respiratory system disease	03-disease-area
EFO:0000685	rheumatoid arthritis	02-disease-root
EFO:0000686	risk status	04-non-disease
EFO:0000689	sampling time	04-non-disease
EFO:0000691	sarcoma	03-disease-area
EFO:0000693	schwannoma	01-disease-subtype
EFO:0000694	severe acute respiratory syndrome	02-disease-root
EFO:0000698	signet ring cell carcinoma	02-disease-root
EFO:0000699	Sjogren syndrome	02-disease-root
EFO:0000701	skin disease	03-disease-area
EFO:0000702	small cell lung carcinoma	02-disease-root
EFO:0000705	spindle cell tumor	02-disease-root
EFO:0000706	spondyloarthropathy	02-disease-root
EFO:0000707	squamous cell carcinoma	02-disease-root
EFO:0000708	squamous cell lung carcinoma	01-disease-subtype
EFO:0000712	stroke	02-disease-root
EFO:0000713	subarachnoid hemorrhage	02-disease-root
EFO:0000714	survival time	04-non-disease
EFO:0000717	systemic scleroderma	02-disease-root
