identifier	precision	rs_classification	probas
DOID:0050890	low	03-disease-area	[0.0014407906509522866, 0.0006906724155990632, 0.9978685369334486]
DOID:10113	medium	02-disease-root	[0.0003328976881470062, 0.9979934832943456, 0.0016736190175072594]
DOID:10718	medium	02-disease-root	[0.0010466938649724062, 0.9989473243160014, 5.9818190262785945e-06]
DOID:13406	high	01-disease-subtype	[0.9996304204594423, 0.0003694981992668543, 8.134129095350279e-08]
DOID:1947	medium	02-disease-root	[0.0002773156934075245, 0.9995922153107071, 0.0001304689958854303]
DOID:7551	medium	02-disease-root	[0.001249121647451493, 0.9987508722666981, 6.0858504399845155e-09]
EFO:0000094	high	01-disease-subtype	[0.9998862271438443, 0.00011044795806137522, 3.324898094334069e-06]
EFO:0000095	medium	02-disease-root	[0.00144716558257674, 0.9985525698367905, 2.645806325921759e-07]
EFO:0000096	medium	02-disease-root	[0.00013778211201424632, 0.999038185154067, 0.0008240327339188221]
EFO:0000174	high	01-disease-subtype	[0.9992849150762011, 0.0007146088565517241, 4.760672471352903e-07]
EFO:0000178	high	01-disease-subtype	[0.9961948121849471, 0.002323893563491917, 0.0014812942515610072]
EFO:0000180	high	01-disease-subtype	[0.9991162068584883, 0.0008808607783061515, 2.9323632053977467e-06]
EFO:0000181	high	01-disease-subtype	[0.9978842946791725, 0.0006887725909814533, 0.0014269327298460474]
EFO:0000182	high	01-disease-subtype	[0.9991074374346706, 0.0008884490294694084, 4.113535859987903e-06]
EFO:0000183	medium	02-disease-root	[0.00016563479444382727, 0.9998341752971728, 1.8990838344728668e-07]
EFO:0000186	high	01-disease-subtype	[0.9989534502857319, 0.0004770169736541748, 0.00056953274061385]
EFO:0000191	high	01-disease-subtype	[0.9995312699658989, 0.00046872144711354987, 8.586987403935117e-09]
EFO:0000195	medium	02-disease-root	[0.00022612894216368203, 0.9997638989196209, 9.97213821550539e-06]
EFO:0000196	high	01-disease-subtype	[0.9994629670401726, 0.0005370066673125048, 2.629251485737837e-08]
EFO:0000197	low	03-disease-area	[0.0001907637582989732, 0.0006117448521936136, 0.9991974913895074]
EFO:0000198	medium	02-disease-root	[0.0005085088774595885, 0.9994739572005199, 1.7533922020442515e-05]
EFO:0000199	high	01-disease-subtype	[0.9998174233106101, 0.00017650941168162422, 6.067277708396259e-06]
EFO:0000200	low	03-disease-area	[0.0016053669375075078, 0.0008428372297244861, 0.9975517958327679]
EFO:0000203	medium	02-disease-root	[0.0005232510829608335, 0.997925362400086, 0.0015513865169532713]
EFO:0000205	high	01-disease-subtype	[0.9999980020942468, 1.968874212398542e-06, 2.903154059976445e-08]
EFO:0000206	high	01-disease-subtype	[0.9999964336296837, 3.5419027409533526e-06, 2.446757521650352e-08]
EFO:0000209	high	01-disease-subtype	[0.9999351785892648, 6.070915696774668e-05, 4.11225376728752e-06]
EFO:0000211	medium	02-disease-root	[0.00095816828748366, 0.9990345725524, 7.25916011621473e-06]
EFO:0000216	low	03-disease-area	[0.0020850621446012072, 0.0005926123705467085, 0.9973223254848521]
EFO:0000217	medium	02-disease-root	[1.8793377152199026e-05, 0.9989293469728301, 0.0010518596500177096]
EFO:0000218	high	01-disease-subtype	[0.9999868592255544, 1.2990208792249396e-05, 1.5056565338363262e-07]
EFO:0000220	medium	02-disease-root	[0.002817984201717447, 0.9963436152626475, 0.0008384005356351728]
EFO:0000221	high	01-disease-subtype	[0.9996970775119084, 0.00030284746467522264, 7.502341636066105e-08]
EFO:0000222	medium	02-disease-root	[0.0012675540967169634, 0.9975796091938273, 0.0011528367094558517]
EFO:0000223	high	01-disease-subtype	[0.9999995686325058, 4.2958999311796654e-07, 1.7775012064631338e-09]
EFO:0000224	high	01-disease-subtype	[0.9999715893931999, 2.8410161083721666e-05, 4.4571632356342365e-10]
EFO:0000225	medium	02-disease-root	[0.001061245142971695, 0.9989345025074207, 4.252349607713721e-06]
EFO:0000228	low	03-disease-area	[2.5033163438969836e-05, 0.0005603535874789037, 0.9994146132490822]
EFO:0000231	medium	02-disease-root	[2.7586427919468286e-05, 0.9992571207544088, 0.0007152928176716399]
EFO:0000232	low	03-disease-area	[2.921760195220026e-06, 0.0002661035175184096, 0.9997309747222862]
EFO:0000233	high	01-disease-subtype	[0.9999998149208075, 1.8470020487395026e-07, 3.7898766207670566e-10]
EFO:0000239	medium	02-disease-root	[0.0023729265556117944, 0.9974975031910055, 0.00012957025338278483]
EFO:0000248	high	01-disease-subtype	[0.9996264885752024, 0.0003735103998851315, 1.02491235680696e-09]
EFO:0000255	high	01-disease-subtype	[0.9997736233866644, 0.00022637547009068785, 1.1432447796506106e-09]
EFO:0000266	high	01-disease-subtype	[0.9998898411027511, 0.00010996153087110349, 1.973663778458188e-07]
EFO:0000272	low	03-disease-area	[9.754791333395993e-05, 0.00016461167742350612, 0.9997378404092425]
EFO:0000274	medium	02-disease-root	[2.7038259364502184e-07, 0.9999994467560137, 2.828613925687022e-07]
EFO:0000275	medium	02-disease-root	[0.0004752108579325084, 0.9993101678238372, 0.00021462131823028958]
EFO:0000278	low	03-disease-area	[2.5286380163873122e-06, 0.0012510587405081452, 0.9987464126214755]
EFO:0000279	medium	02-disease-root	[6.646025240350704e-05, 0.999704347138821, 0.00022919260877555996]
EFO:0000280	medium	02-disease-root	[4.05983594987935e-05, 0.9999567133586997, 2.6882818014626275e-06]
EFO:0000281	high	01-disease-subtype	[0.9999976938405932, 2.283209854243141e-06, 2.2949552517989615e-08]
EFO:0000284	medium	02-disease-root	[0.001437519448117094, 0.9985622848566331, 1.9569524974856368e-07]
EFO:0000294	low	03-disease-area	[0.00035499214075787247, 9.96944356878726e-05, 0.9995453134235542]
EFO:0000304	high	01-disease-subtype	[0.9976880532497421, 0.0018960071435419044, 0.0004159396067160504]
EFO:0000305	high	01-disease-subtype	[0.9982668509609436, 0.0010705356180616178, 0.0006626134209947628]
EFO:0000306	high	01-disease-subtype	[0.9993542266920451, 0.00039559121084942347, 0.00025018209710548527]
EFO:0000308	high	01-disease-subtype	[0.9999961740073937, 3.0444191520513938e-06, 7.815734540784345e-07]
EFO:0000309	high	01-disease-subtype	[0.9981108125271488, 0.001889155794619561, 3.167823151495222e-08]
EFO:0000313	low	03-disease-area	[5.476737918505256e-06, 0.0013645952898369426, 0.9986299279722446]
EFO:0000318	medium	02-disease-root	[0.00018915886117398147, 0.9977185153138727, 0.0020923258249532766]
